,,,,
,The C11 semantic errors follow the template: Error_Type-Error_Code.,,,
,"The Error_Type can be one of: UB (Undefined Behavior), USP (Unspecified Behavior), CV (Constraint Violation), or IMPL (Implementation Defined Behavior)",,,
,The Error_Code is a unique code used to identify a particular error.,,,
,,,,
Error,Description ,References,Type,Requires RV-Match
UB-CB1,Types of function call arguments aren't compatible with declared types after promotions.,"6.5.2.2:6, J.2:1 item 39",Undefined Behavior,
UB-CB2,Function call has fewer arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CB3,Function call has more arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CB4,Function defined with no parameters called with arguments.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CCV1,Signed integer overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CCV3,Conversion to integer from float outside the range that can be represented.,"6.3.1.4:1, J.2:1 item 17",Undefined Behavior,
UB-CCV4,Floating-point value outside the range of values that can be represented after conversion.,"6.3.1.5:1, J.2:1 item 18",Undefined Behavior,
UB-CCV5,Casting empty value to type other than void.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior,
UB-CCV6,Casting void type to non-void type.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior,
UB-CCV7,Conversion from pointer to integer of a value possibly unrepresentable in the integer type.,"6.3.2.3:6, J.2:1 item 24",Undefined Behavior,
UB-CCV11,Conversion to a pointer type with a stricter alignment requirement (possibly undefined).,"6.3.2.3:7, J.2:1 item 25",Undefined Behavior,
UB-CCV12,Floating-point overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CEA1,A pointer (or array subscript) outside the bounds of an object.,"6.5.6:8, J.2:1 item 46",Undefined Behavior,
UB-CEA5,Computing pointer difference between two different objects.,"6.5.6:9, J.2:1 item 48",Undefined Behavior,
UB-CEA2,Pointer difference outside the range that can be represented by object of type ptrdiff_t.,"6.5.6:9, J.2:1 item 50",Undefined Behavior,
UB-CEB2,The right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB3,The right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB4,The left operand in a bitwise left-shift is negative.,"6.5.7:4, J.2:1 item 52",Undefined Behavior,
UB-CEB6,The right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB7,The right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEE2,Indeterminate value used in an expression.,"6.2.4, 6.7.9, 6.8, J.2:1 item 11",Undefined Behavior,
UB-CEE1,Address of an array declared with register storage class used in an expression.,"6.3.2.1:3, J.2:1 item 22",Undefined Behavior,
UB-CEE3,Found pointer that refers outside the bounds of an object + 1.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-CEE4,Referring to an object outside of its lifetime.,"6.2.4:2, J.2:1 item 9",Undefined Behavior,
UB-CEE5,Trying to convert an incomplete lvalue not of array type.,"6.3.2.1:2, J.2:1 item 20",Undefined Behavior,
UB-CEM1,Attempting to access a member in an atomic struct.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior,
UB-CEM2,Attempting to access a member in an atomic union.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior,
UB-CEMX1,Division by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior,
UB-CEMX2,Modulus by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior,
UB-CEMX3,Signed integer overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CER3,Dereferencing a null pointer.,"6.5.3.2:4, J.2:1 item 43",Undefined Behavior,
UB-CER4,Dereferencing a pointer past the end of an array.,"6.5.6:8, J.2:1 items 47, 49",Undefined Behavior,
UB-CERL1,Cannot compare pointers with different base objects using '<'.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL2,Cannot compare pointers with different base objects using '<='.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL3,Cannot compare pointers with different base objects using '>'.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL4,Cannot compare pointers with different base objects using '>='.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL6,Ordered comparison of a null pointer.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CMW1,Trying to modify a string literal.,"6.4.5:7, J.2:1 item 33",Undefined Behavior,
UB-CTM1,Variable-length array with length that evaluates to non-positive value at execution.,"6.7.6.2:5, J.2:1 item 75",Undefined Behavior,
UB-ECL3,An object which has been modified is accessed through an expression based on a restrict-qualified pointer and another lvalue not also based on said pointer.,"6.7.3.1:4, J.2:1 item 68",Undefined Behavior,
UB-ECL4,An object which has been modified is accessed through an expression based on a restrict-qualified pointer to a const-qualified type.,"6.7.3.1:4, J.2:1 item 68",Undefined Behavior,
UB-CEER1,Trying to read through a null pointer.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-CEER4,Have a read-write datarace.,"5.1.2.4:25, J.2:1 item 5",Undefined Behavior,
UB-CEER5,Have a write-write datarace.,"5.1.2.4:25, J.2:1 item 5",Undefined Behavior,
UB-CID2,No definition found for identifier .,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-EEA1,Assignment from non-exactly-overlapping overlapping read.,"6.5.16.1:3, J.2:1 item 54",Undefined Behavior,
UB-EEA2,Attempt to alias restrict qualified pointers associated with the same block.,"6.7.3.1:4, J.2:1 item 69",Undefined Behavior,
UB-EEA3,Attempt to alias restrict qualified pointers associated with incompatible blocks.,"6.7.3.1:4, J.2:1 item 69",Undefined Behavior,
UB-EEA4,Passing a pointer not to an array object as a function parameter with a static-qualified array size.,"6.7.6.3:7, J.2:1 item 77",Undefined Behavior,
UB-EEA5,Passing a pointer to an array object of fewer elements than required by a function parameter with a static-qualified array size.,"6.7.6.3:7, J.2:1 item 77",Undefined Behavior,
UB-EEC1,Incompatible variably modified types in a conditional expression.,6.7.6.2:6,Undefined Behavior,
UB-EFNC1,Attempt to call the function through a pointer with incompatible type.,"6.5.2.2:9, J.2:1 items 26, 41",Undefined Behavior,
UB-EFNC2,Invoking a null pointer.,6.5.2.2,Undefined Behavior,
UB-EIO8,Unsequenced side effect on scalar object with side effect of same object.,"6.5:2, J.2:1 item 35",Undefined Behavior,
UB-EIO2,Trying to write outside the bounds of an object.,"6.5.6:8, J.2:1 items 47, 49",Undefined Behavior,
UB-EIO3,Trying to modify an object declared with const type.,"6.7.3:6, J.2:1 item 64",Undefined Behavior,
