,,,
,Errors reported by RV-Match follow the template: Error_Type-Error_Code.,,
,"The Error_Type can be one of: UB (Undefined Behavior), USP (Unspecified Behavior), CV (Constraint Violation), or IMPL (Implementation Specific Behavior)",,
,The Error_Code is a unique code used to identify a particular error.,,
,,,
Error,Description ,References,Type
UB-CB1,types of function call arguments aren't compatible with declared types after promotions.,"6.5.2.2:6, J.2:1 item 39",Undefined Behavior
UB-CB2,function call has fewer arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior
UB-CB3,function call has more arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior
UB-CCV1,signed overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior
UB-CCV3,conversion to integer from float outside the range that can be represented.,"6.3.1.4:1, J.2:1 item 17",Undefined Behavior
UB-CCV4,floating-point value outside the range of values that can be represented after conversion.,"6.3.1.5:1, J.2:1 item 18",Undefined Behavior
UB-CCV5,casting empty value to type other than void.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior
UB-CCV6,casting void type to non-void type.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior
UB-CCV7,conversion from pointer to integer of a value possibly unrepresentable in the integer type.,"6.3.2.3:6, J.2:1 item 24",Undefined Behavior
UB-CCV11,conversion to a pointer type with a stricter alignment requirement (possibly undefined).,"6.3.2.3:7, J.2:1 item 25",Undefined Behavior
UB-CCV12,floating-point overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior
UB-CEA1,A pointer (or array subscript) outside the bounds of an object.,"6.5.6:8, J.2:1 item 46",Undefined Behavior
UB-CEA5,Computing pointer difference between two different objects.,"6.5.6:9, J.2:1 item 48",Undefined Behavior
UB-CEA2,Pointer difference outside the range that can be represented by object of type ptrdiff_t.,"6.5.6:9, J.2:1 item 50",Undefined Behavior
UB-CEA6,"Unspecified value in signed addition, possible overflow.","6.5:5, J.2:1 item 36",Undefined Behavior
UB-CEB2,the right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior
UB-CEB3,the right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior
UB-CEB4,the left operand in a bitwise left-shift is negative.,"6.5.7:4, J.2:1 item 52",Undefined Behavior
UB-CEB6,the right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior
UB-CEB12,potential negative zero produced via bitwise operations (this could be a false positive).,"6.2.6.2:4, J.2:1 item 14",Undefined Behavior
UB-CEB7,the right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior
UB-CEE2,Indeterminate value used in an expression.,"6.2.4, 6.7.9, 6.8, J.2:1 item 11",Undefined Behavior
UB-CEE1,Address of an array declared with register storage class used in an expression.,"6.3.2.1:3, J.2:1 item 22",Undefined Behavior
UB-CEE4,Referring to an object outside of its lifetime.,"6.2.4:2, J.2:1 item 9",Undefined Behavior
UB-CEE3,Found pointer that refers outside the bounds of an object + 1.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior
UB-CEM1,attempting to access a member in an atomic struct.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior
UB-CEM2,attempting to access a member in an atomic union.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior
UB-CEMX1,Division by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior
UB-CEMX2,Modulus by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior
UB-CEMX3,Signed overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior
UB-CER3,Dereferencing a null pointer.,"6.5.3.2:4, J.2:1 item 43",Undefined Behavior
UB-CER4,Dereferencing a pointer past the end of an array.,"6.5.6:8, J.2:1 item 47",Undefined Behavior
UB-CERL1,Cannot compare pointers with different base objects using '<'.,"6.5.8:5, J.2:1 item 53",Undefined Behavior
UB-CERL2,Cannot compare pointers with different base objects using '<='.,"6.5.8:5, J.2:1 item 53",Undefined Behavior
